"","","","","","","","PERKHIDMATAN ETS","","","","","","","","","","",""
"","","","","","","","ETS SERVICE","","","","","","","","","","",""
"TREN KE SELATAN","","","","","","","","","","","","","","","","","",""
"Southbound Train","","","","","","","","","","","","","","","","","",""
"STESEN/STATION","ES9051","EP9511","EP9171","","EP9173 EG9025 EG9321 EP9273 EG9027 EP9275 EX9107","","","","","","EP9515","","EX9009 EX9207 EP9177 EG9035 EG9425 EP9279 EP9179","","","","",""
"Padang Besar","","","","","","","07:20","","09:45","","","","13:50","","","15:55","17:00",""
"Arau","","","","","","","07:38","","10:03","","","","14:07","","","16:13","17:18",""
"Anak Bukit","","","","","","","","","","","","","","","","16:29","",""
"Alor Setar","","","","","","","07:59","","10:24","","","","14:26","","","16:35","17:39",""
"Gurun","","","","","","","","","","","","","","","","16:53","",""
"Sungai Petani","","","","","","","08:29","","10:54","","","","14:54","","","17:05","18:08",""
"Tasek Gelugor","","","","","","","08:41","","11:06","","","","-","","","17:17","18:20",""
"Butterworth","","","05:15","06:30","","07:50","","","","13:05","","","","16:05","","","","18:45"
"Bukit Mertajam","","","05:26","06:41","","08:01","","","","13:15","","","","16:16","","","","18:56"
"Nibong Tebal","","","-","-","","08:15","","","","-","","","","-","","17:39","","-"
"Parit Buntar","","","05:43","06:58","","08:19","09:08","","11:33","-","","","-","16:33","","17:43","18:47","19:13"
"Bagan Serai","","","","","","08:27","","","","","","","","","","17:51","",""
"Taiping","","","06:11","07:26","","08:49","09:36","","12:01","13:56","","","15:54","17:01","","18:12","19:15","19:41"
"Kuala Kangsar","","","06:27","07:42","","09:06","09:52","","12:17","-","","","-","17:17","","18:29","19:31","19:57"
"Sungai Siput","","","-","","","09:17","","","","","","","","","","18:41","",""
"Ipoh","05:10","","06:56","08:11","08:40","09:36","10:21","12:05","12:46","14:40","","15:45","16:37","17:46","18:35","19:00","20:00","20:26"
"Batu Gajah","05:24","","07:10","08:25","08:53","09:50","10:35","12:18","13:00","-","","15:54","-","18:00","18:48","19:14","20:14","20:40"
"Kampar","05:37","","07:23","08:38","09:06","10:03","10:48","12:31","13:13","-","","-","-","18:13","19:01","19:27","20:27","20:53"
"Tapah Road","05:47","","","","09:16","10:13","","12:41","","","","-","","","19:11","19:37","",""
"Sungkai","05:59","","","","09:28","","","12:53","","","","-","","","19:23","","",""
"Slim River","06:12","","","","09:41","","","13:06","","","","-","","","19:36","","",""
"Tanjung Malim","06:26","","08:07","09:22","09:55","10:52","11:32","13:20","13:57","-","","-","-","18:57","19:50","20:16","21:11","21:37"
"Kuala Kubu Bharu","06:39","","","","","","","","","","","","","","","","",""
"Batang Kali","06:46","","","","","11:11","","","","","","","","","","","-",""
"Rawang","07:03","","","","10:30","","","13:55","","","","-","","","20:25","20:51","",""
"Sungai Buloh","07:18","","08:54","10:09","10:45","11:42","12:19","14:10","14:44","-","","-","18:19","19:44","20:40","21:06","21:59","22:24"
"Kepong Sentral","07:26","","","","10:53","","","14:18","","","","-","","","20:48","","",""
"Kuala Lumpur","07:43","","09:16","10:31","11:10","12:06","12:41","14:35","15:06","16:37","","17:42","18:37","20:06","21:05","21:30","22:21","22:46"
"KL Sentral","07:47","07:45","09:20","10:35","11:14","12:15","12:45","14:39","15:10","16:40","17:35","17:45","18:40","20:10","21:09","21:39","22:25","22:50"
"Bandar Tasek Selatan","","07:59","","","","12:30","","","","","17:49","","","","","21:55","",""
"Kajang","","08:18","","","","12:49","","","","","18:08","","","","","22:14","",""
"Seremban","","09:03","","","","13:39","","","","","18:53","","","","","23:04","",""
"Pulau Sebang / Tampin","","09:32","","","","14:07","","","","","19:22","","","","","23:33","",""
"Batang Melaka","","09:47","","","","14:22","","","","","19:37","","","","","23:47","",""
"Gemas","","10:05","","","","14:42","","","","","19:55","","","","","00:05","",""
"Segamat","","10:21","","","","14:57","","","","","20:11","","","","","00:20","",""
"Labis","","10:43","","","","","","","","","20:33","","","","","","",""
"Bekok","","10:53","","","","","","","","","20:43","","","","","","",""
"Paloh","","11:04","","","","","","","","","20:54","","","","","","",""
"Kluang","","11:19","","","","","","","","","21:09","","","","","","",""
"Rengam","","11:31","","","","","","","","","21:21","","","","","","",""
"Layang-Layang","","11:37","","","","","","","","","21:27","","","","","","",""
"Kulai","","11:49","","","","","","","","","21:39","","","","","","",""
"Kempas Baru","","11:59","","","","","","","","","21:49","","","","","","",""
"JB Sentral","","12:05","","","","","","","","","21:55","","","","","","",""
