0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
JADUAL WAKTU PERKHIDMATAN KTM KOMUTER PULAU SEBANG KE BATU CAVES HARI BEKERJA MULAI 20 APRIL 2026,,,,,,,,,,,,,,,,,,,,,,,
NOMBOR TRIP,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
NOMBOR TREN,,2000,2002,2004,2006,2008,2012,2014,2018,2022,2026,2030,2032,2036,2040,2044,2046,2048,2050,2054,2058,2062,2066
PULAU SEBANG,25100,,5:25,5:40,5:55,,6:25,6:40,,,,,,,,,,,,,,,
REMBAU,23900,,5:42,5:57,6:12,,6:42,6:57,,,,,,,,,,,,,,,
SUNGAI GADUT,23100,,5:55,6:10,6:25,,6:55,7:10,,,,,,,,,,,,,,,
SENAWANG,22900,,6:00,6:15,6:30,,7:00,7:15,,,,,,,,,,,,,,,
SEREMBAN,22700,,6:06,6:21,6:36,,7:06,7:21,,,,,,,,,,,,,,,
TIROI,22400,,6:14,6:29,6:44,,7:14,7:29,,,,,,,,,,,,,,,
LABU,22000,,6:20,6:35,6:50,,7:20,7:35,,,,,,,,,,,,,,,
NILAI,21500,,6:30,6:45,7:00,,7:30,7:45,,,,,,,,,,,,,,,
BATANG BENAR,21300,,6:36,6:51,7:06,,7:36,7:51,,,,,,,,,,,,,,,
BANGI,20900,,6:49,7:04,7:19,,7:49,8:04,,,,,,,,,,,,,,,
UKM,20500,,6:55,7:10,7:25,,7:55,8:10,,,,,,,,,,,,,,,
KAJANG 2,20402,,6:58,7:13,7:28,,7:58,8:13,,,,,,,,,,,,,,,
KAJANG,20400,,7:02,7:17,7:32,,8:02,8:32,,,,,,,,,,,,,,,
SERDANG,19900,,7:14,7:29,7:44,,8:19,8:44,,,,,,,,,,,,,,,
BANDAR TASEK SELATAN,19600,,7:21,7:36,7:51,,8:26,8:51,,,,,,,,,,,,,,,
SALAK SELATAN,19400,,7:27,7:42,7:57,8:17,8:32,8:57,10:02,11:02,12:07,13:02,13:37,14:37,15:17,16:37,17:07,17:37,18:17,19:17,20:17,21:17,22:17
SEPUTEH,19300,,7:32,7:47,8:02,8:22,8:37,9:02,10:07,11:07,12:12,13:07,13:42,14:42,15:22,16:42,17:12,17:42,18:22,19:22,20:22,21:22,22:22
MIDVALLEY,19205,,7:35,7:50,8:05,8:25,8:40,9:05,10:10,11:10,12:15,13:10,13:45,14:45,15:25,16:45,17:15,17:45,18:25,19:25,20:25,21:25,22:25
KL SENTRAL,19100,7:12,7:42,7:57,8:12,8:32,8:47,9:12,10:17,11:17,12:22,13:17,13:52,14:52,15:47,16:52,17:22,17:52,18:32,19:32,20:32,21:32,22:32
KUALA LUMPUR,19000,7:16,7:46,8:01,8:16,8:36,8:51,9:16,10:21,11:21,12:26,13:21,13:56,14:56,15:51,16:56,17:26,17:56,18:36,19:36,20:36,21:36,22:36
BANK NEGARA,18900,7:20,7:50,8:05,8:20,8:40,8:55,9:20,10:25,11:25,12:30,13:25,14:00,15:00,15:55,17:00,17:30,18:00,18:40,19:40,20:40,21:40,22:40
PUTRA,18800,7:23,7:53,8:08,8:23,8:43,8:58,9:23,10:28,11:28,12:33,13:28,14:03,15:03,15:58,17:03,17:33,18:03,18:43,19:43,20:43,21:43,22:43
SENTUL,50000,7:29,7:59,8:14,8:29,8:49,9:04,9:29,10:34,11:34,12:39,13:34,14:09,15:09,16:04,17:09,17:39,18:09,18:49,19:49,20:49,21:49,22:49
BATU KENTONMEN,50300,7:33,8:03,8:18,8:33,8:53,9:08,9:33,10:38,11:38,12:43,13:38,14:13,15:13,16:08,17:13,17:43,18:13,18:53,19:53,20:53,21:53,22:53
KAMPUNG BATU,50400,7:35,8:05,8:20,8:35,8:55,9:10,9:35,10:40,11:40,12:45,13:40,14:15,15:15,16:10,17:15,17:45,18:15,18:55,19:55,20:55,21:55,22:55
TAMAN WAHYU,50500,7:37,8:07,8:22,8:37,8:57,9:12,9:37,10:42,11:42,12:47,13:42,14:17,15:17,16:12,17:17,17:47,18:17,18:57,19:57,20:57,21:57,22:57
BATU CAVES,50600,7:41,8:11,8:26,8:41,9:01,9:16,9:41,10:46,11:46,12:51,13:46,14:21,15:21,16:16,17:21,17:51,18:21,19:01,20:01,21:01,22:01,23:01
