0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
JADUAL WAKTU PERKHIDMATAN KTM KOMUTER PULAU SEBANG KE BATU CAVES HARI BEKERJA 27 APRIL 2026,,,,,,,,,,,,,,,,,,,,,,,,
NOMBOR TRIP,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
NOMBOR TREN,,2002,2004,2006,2008,2010,2012,2014,2018,2022,2026,2030,2032,2036,2040,2044,2046,2048,2050,2054,2058,2062,2066,2070
PULAU SEBANG,25100,,5:10,5:30,5:50,,6:25,6:40,,,,,,,,,,,,,,,,
REMBAU,23900,,5:27,5:47,6:07,,6:42,6:57,,,,,,,,,,,,,,,,
SUNGAI GADUT,23100,,5:40,6:00,6:20,,6:55,7:10,,,,,,,,,,,,,,,,
SENAWANG,22900,,5:45,6:05,6:25,,7:00,7:15,,,,,,,,,,,,,,,,
SEREMBAN,22700,,5:51,6:11,6:31,,7:06,7:21,,,,,,,,,,,,,,,,
TIROI,22400,,5:59,6:19,6:39,,7:14,7:29,,,,,,,,,,,,,,,,
LABU,22000,,6:05,6:25,6:45,,7:20,7:35,,,,,,,,,,,,,,,,
NILAI,21500,,6:15,6:35,6:55,,7:30,7:45,,,,,,,,,,,,,,,,
BATANG BENAR,21300,,6:21,6:41,7:01,,7:36,7:51,,,,,,,,,,,,,,,,
BANGI,20900,,6:34,6:54,7:14,,7:49,8:04,,,,,,,,,,,,,,,,
UKM,20500,,6:40,7:00,7:20,,7:55,8:10,,,,,,,,,,,,,,,,
KAJANG 2,20402,,6:43,7:03,7:23,,7:58,8:13,,,,,,,,,,,,,,,,
KAJANG,20400,,6:47,7:07,7:27,,8:02,8:16,,,,,,,,,,,,,,,,
SERDANG,19900,,6:59,7:19,7:39,,8:19,8:44,,,,,,,,,,,,,,,,
BANDAR TASEK SELATAN,19600,,7:06,7:26,7:46,,8:26,8:51,,,,,,,,,,,,,,,,
SALAK SELATAN,19400,,7:12,7:32,7:52,8:12,8:32,8:57,9:52,10:47,11:37,12:37,13:37,14:37,15:32,16:32,,17:37,,,20:17,21:17,22:17,23:02
SEPUTEH,19300,,7:17,7:37,7:57,8:17,8:37,9:02,9:57,10:52,11:42,12:42,13:42,14:42,15:37,16:37,,17:42,,,20:22,21:22,22:22,23:07
MIDVALLEY,19205,,7:20,7:40,8:00,8:20,8:40,9:05,10:00,10:55,11:45,12:45,13:45,14:45,15:40,16:40,,17:45,,,20:25,21:25,22:25,23:10
KL SENTRAL,19100,7:12,7:32,7:47,8:12,8:27,8:47,9:12,10:07,11:02,11:52,12:52,13:52,14:52,15:47,16:47,17:22,17:52,18:32,19:32,20:32,21:32,22:32,23:17
KUALA LUMPUR,19000,7:16,7:36,7:56,8:16,8:31,8:51,9:16,10:11,11:06,11:56,12:56,13:56,14:56,15:51,16:51,17:26,17:56,18:36,19:36,20:36,21:36,22:36,23:21
BANK NEGARA,18900,7:20,7:40,8:00,8:20,8:35,8:55,9:20,10:15,11:10,12:00,13:00,14:00,15:00,15:55,16:55,17:30,18:00,18:40,19:40,20:40,21:40,22:40,23:25
PUTRA,18800,7:23,7:43,8:03,8:23,8:38,8:58,9:23,10:18,11:13,12:03,13:03,14:03,15:03,15:58,16:58,17:33,18:03,18:43,19:43,20:43,21:43,22:43,23:28
SENTUL,50000,7:29,7:49,8:09,8:29,8:44,9:04,9:29,10:24,11:19,12:09,13:09,14:09,15:09,16:04,17:04,17:39,18:09,18:49,19:49,20:49,21:49,22:49,23:34
BATU KENTONMEN,50300,7:33,7:53,8:13,8:33,8:48,9:08,9:33,10:28,11:23,12:13,13:13,14:13,15:13,16:08,17:08,17:43,18:13,18:53,19:53,20:53,21:53,22:53,23:38
KAMPUNG BATU,50400,7:35,7:55,8:15,8:35,8:50,9:10,9:35,10:30,11:25,12:15,13:15,14:15,15:15,16:10,17:10,17:45,18:15,18:55,19:55,20:55,21:55,22:55,23:40
TAMAN WAHYU,50500,7:37,7:57,8:17,8:37,8:52,9:12,9:37,10:32,11:27,12:17,13:17,14:17,15:17,16:12,17:12,17:47,18:17,18:57,19:57,20:57,21:57,22:57,23:42
BATU CAVES,50600,7:41,8:01,8:21,8:41,8:56,9:16,9:41,10:36,11:31,12:21,13:21,14:21,15:21,16:16,17:16,17:51,18:21,19:01,20:01,21:01,22:01,23:01,23:46
