0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"JADUAL WAKTU PERKHIDMATAN KTM KOMUTER PULAU SEBANG KE BATU CAVES SABTU, AHAD DAN CUTI UMUM MULAI 18 APRIL 2026",,,,,,,,,,,,,,,,,
NOMBOR TRIP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
NOMBOR TREN,2206,2212,2214,2218,2222,2226,2230,2232,2236,2240,2244,2248,2250,2254,2258,2262,2266
PULAU SEBANG,,6:25,7:10,,,,,,,,,,,,,,
REMBAU,,6:42,7:27,,,,,,,,,,,,,,
SUNGAI GADUT,,6:55,7:40,,,,,,,,,,,,,,
SENAWANG,,7:00,7:45,,,,,,,,,,,,,,
SEREMBAN,,7:06,7:51,,,,,,,,,,,,,,
TIROI,,7:14,7:59,,,,,,,,,,,,,,
LABU,,7:20,8:05,,,,,,,,,,,,,,
NILAI,,7:30,8:15,,,,,,,,,,,,,,
BATANG BENAR,,7:36,8:21,,,,,,,,,,,,,,
BANGI,,7:49,8:39,,,,,,,,,,,,,,
UKM,,7:55,8:45,,,,,,,,,,,,,,
KAJANG 2,,7:58,8:48,,,,,,,,,,,,,,
KAJANG,,8:02,8:52,,,,,,,,,,,,,,
SERDANG,,8:19,9:04,,,,,,,,,,,,,,
BANDAR TASEK SELATAN,,8:26,9:11,,,,,,,,,,,,,,
SALAK SELATAN,7:57,8:32,9:17,10:02,11:02,12:07,13:02,13:37,14:37,15:17,16:37,17:37,18:17,19:17,20:17,21:17,22:17
SEPUTEH,8:02,8:37,9:22,10:07,11:07,12:12,13:07,13:42,14:42,15:22,16:42,17:42,18:22,19:22,20:22,21:22,22:22
MIDVALLEY,8:05,8:40,9:25,10:10,11:10,12:15,13:10,13:45,14:45,15:25,16:45,17:45,18:25,19:25,20:25,21:25,22:25
KL SENTRAL,8:12,8:47,9:32,10:17,11:17,12:22,13:17,13:52,14:52,15:47,16:52,17:52,18:32,19:32,20:32,21:32,22:32
KUALA LUMPUR,8:16,8:51,9:36,10:21,11:21,12:26,13:21,13:56,14:56,15:51,16:56,17:56,18:36,19:36,20:36,21:36,22:36
BANK NEGARA,8:20,8:55,9:40,10:25,11:25,12:30,13:25,14:00,15:00,15:55,17:00,18:00,18:40,19:40,20:40,21:40,22:40
PUTRA,8:23,8:58,9:43,10:28,11:28,12:33,13:28,14:03,15:03,15:58,17:03,18:03,18:43,19:43,20:43,21:43,22:43
SENTUL,8:29,9:04,9:49,10:34,11:34,12:39,13:34,14:09,15:09,16:04,17:09,18:09,18:49,19:49,20:49,21:49,22:49
BATU KENTONMEN,8:33,9:08,9:53,10:38,11:38,12:43,13:38,14:13,15:13,16:08,17:13,18:13,18:53,19:53,20:53,21:53,22:53
KAMPUNG BATU,8:35,9:10,9:55,10:40,11:40,12:45,13:40,14:15,15:15,16:10,17:15,18:15,18:55,19:55,20:55,21:55,22:55
TAMAN WAHYU,8:37,9:12,9:57,10:42,11:42,12:47,13:42,14:17,15:17,16:12,17:17,18:17,18:57,19:57,20:57,21:57,22:57
BATU CAVES,8:41,9:16,10:01,10:46,11:46,12:51,13:46,14:21,15:21,16:16,17:21,18:21,19:01,20:01,21:01,22:01,23:01
