0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"JADUAL WAKTU PERKHIDMATAN KTM KOMUTER BATU CAVES KE PULAU SEBANG SABTU, AHAD DAN CUTI AM MULAI 1 MEI 2026",,,,,,,,,,,,,,,,,,,
NOMBOR TRIP,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
NOMBOR TREN,,2203,2207,2211,2215,2219,2223,2227,2231,2235,2239,2243,2245,2249,2255,2259,2263,2267,
BATU CAVES,50600,7:00,8:05,9:05,10:00,11:00,12:00,13:00,14:00,15:00,15:40,16:30,17:00,18:05,18:50,19:45,20:45,21:45,
TAMAN WAHYU,50500,7:04,8:09,9:09,10:04,11:04,12:04,13:04,14:04,15:04,15:44,16:34,17:04,18:09,18:54,19:49,20:49,21:49,
KAMPUNG BATU,50400,7:07,8:12,9:12,10:07,11:07,12:07,13:07,14:07,15:07,15:47,16:37,17:07,18:12,18:57,19:52,20:52,21:52,
BATU KENTONMEN,50300,7:09,8:14,9:14,10:09,11:09,12:09,13:09,14:09,15:09,15:49,16:39,17:09,18:14,18:59,19:54,20:54,21:54,
SENTUL,50000,7:13,8:18,9:18,10:13,11:13,12:13,13:13,14:13,15:13,15:53,16:43,17:13,18:18,19:03,19:58,20:58,21:58,
PUTRA,18800,7:19,8:24,9:24,10:19,11:19,12:19,13:19,14:19,15:19,15:59,16:49,17:19,18:24,19:09,20:04,21:04,22:04,
BANK NEGARA,18900,7:22,8:27,9:27,10:22,11:22,12:22,13:22,14:22,15:22,16:02,16:52,17:22,18:27,19:12,20:07,21:07,22:07,
KUALA LUMPUR,19000,7:26,8:31,9:31,10:26,11:26,12:26,13:26,14:26,15:26,16:06,16:56,17:26,18:31,19:16,20:11,21:11,22:11,
KL SENTRAL,19100,7:31,8:36,9:36,10:31,11:31,12:31,13:31,14:31,15:31,16:11,17:01,17:29,18:36,19:21,20:16,21:16,22:16,
MIDVALLEY,19205,7:37,8:42,9:42,10:37,11:37,12:37,13:37,14:37,15:37,16:17,17:07,,18:43,19:28,20:22,21:22,22:22,
SEPUTEH,19300,,,,,,,,,,,,,18:45,19:30,,,,
SALAK SELATAN,19400,,,,,,,,,,,,,18:51,19:36,,,,
BANDAR TASEK SELATAN,19600,,,,,,,,,,,,,18:57,19:43,,,,
SERDANG,19900,,,,,,,,,,,,,19:10,19:51,,,,
KAJANG,20400,,,,,,,,,,,,,19:21,20:02,,,,
KAJANG 2,20402,,,,,,,,,,,,,19:24,20:16,,,,
UKM,20500,,,,,,,,,,,,,19:27,20:19,,,,
BANGI,20900,,,,,,,,,,,,,19:33,20:27,,,,
BATANG BENAR,21300,,,,,,,,,,,,,19:50,20:40,,,,
NILAI,21500,,,,,,,,,,,,,19:56,20:46,,,,
LABU,22000,,,,,,,,,,,,,20:03,20:53,,,,
TIROI,22400,,,,,,,,,,,,,20:09,20:59,,,,
SEREMBAN,22700,,,,,,,,,,,,,20:17,21:07,,,,
SENAWANG,22900,,,,,,,,,,,,,20:23,21:13,,,,
SUNGAI GADUT,23100,,,,,,,,,,,,,20:28,21:28,,,,
REMBAU,23900,,,,,,,,,,,,,20:41,21:41,,,,
PULAU SEBANG,25100,,,,,,,,,,,,,20:58,21:58,,,,
