0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"JADUAL WAKTU KOMUTER PULAU SEBANG KE BATU CAVES SABTU, AHAD DAN CUTI AM MULAI 3 JANUARI 2026",,,,,,,,,,,,,,,,,,,,,
NOMBOR TRIP,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
NOMBOR TREN,,2206,2212,2214,2216,2220,2222,2226,2228,2230,2234,2238,2240,2244,2246,2248,2252,2254,2258,2262,2266
PULAU SEBANG,25100,5:50,6:50,,8:00,8:55,,,,10:55,,,14:05,16:00,,,,18:20,19:40,,21:15
REMBAU,23900,6:07,7:07,,8:17,9:12,,,,11:12,,,14:22,16:17,,,,18:37,19:57,,21:32
SUNGAI GADUT,23100,6:20,7:20,,8:30,9:25,,,,11:25,,,14:35,16:30,,,,18:50,20:10,,21:45
SENAWANG,22900,6:25,7:25,,8:35,9:30,,,,11:30,,,14:40,16:35,,,,18:55,20:15,,21:50
SEREMBAN,22700,6:31,7:31,,8:41,9:36,,,,11:36,,,14:46,16:41,,,,19:01,20:21,,21:56
TIROI,22400,6:39,7:39,,8:49,9:44,,,,11:44,,,14:54,16:49,,,,19:09,20:29,,22:04
LABU,22000,6:45,7:45,,8:55,9:50,,,,12:00,,,15:00,16:55,,,,19:15,20:35,,22:10
NILAI,21500,6:55,7:55,,9:05,10:00,,,,12:10,,,15:10,17:05,,,,19:25,20:45,,22:20
BATANG BENAR,21300,7:01,8:01,,9:11,10:11,,,,12:16,,,15:16,17:11,,,,19:36,20:51,,22:26
BANGI,20900,7:14,8:14,,9:24,10:24,,,,12:29,,,15:29,17:24,,,,19:49,21:04,,22:39
UKM,20500,7:20,8:20,,9:30,10:30,,,,12:35,,,15:35,17:30,,,,19:55,21:10,,22:45
KAJANG 2,20402,7:23,8:23,,9:33,10:33,,,,12:38,,,15:38,17:33,,,,19:58,21:13,,22:48
KAJANG,20400,7:27,8:37,,9:47,10:47,,,,13:51,,,16:11,17:36,,,19:09,20:17,21:17,,23:02
SERDANG,19900,7:39,8:49,,9:59,10:59,,,,14:08,,,16:23,,,,19:21,20:29,21:34,,23:14
BANDAR TASEK SELATAN,19600,7:46,8:56,,10:06,11:06,,,,14:15,,,16:30,,,,19:28,20:36,21:41,,23:21
SALAK SELATAN,19400,7:52,9:02,9:36,10:12,11:12,12:11,12:56,,14:21,15:11,,16:36,,,,19:34,20:42,21:47,22:22,23:27
SEPUTEH,19300,7:57,9:07,9:41,10:17,11:17,12:16,13:01,,14:26,15:16,,16:41,,,,19:39,20:47,21:52,22:27,23:32
MIDVALLEY,19205,8:00,9:10,9:44,10:20,11:20,12:19,13:04,,14:29,15:19,,16:44,,,,19:42,20:50,21:55,22:30,23:35
KL SENTRAL,19100,8:12,9:17,9:51,10:27,11:27,12:26,13:11,13:56,14:36,15:26,16:21,16:56,,17:41,19:01,19:49,21:02,22:04,22:37,23:42
KUALA LUMPUR,19000,8:16,9:21,9:55,10:31,11:31,12:30,13:15,14:00,14:40,15:30,16:25,17:00,,17:45,19:05,19:53,21:06,22:08,22:41,23:46
BANK NEGARA,18900,8:20,9:25,9:59,10:35,11:35,12:34,13:19,14:04,14:44,15:34,16:29,17:04,,17:49,19:09,19:57,21:10,22:12,22:45,23:50
PUTRA,18800,8:23,9:28,10:02,10:38,11:38,12:37,13:22,14:07,14:47,15:37,16:32,17:07,,17:52,19:12,20:00,21:13,22:15,22:48,23:53
SENTUL,50000,8:29,9:34,10:08,10:44,11:44,12:43,13:28,14:13,14:53,15:43,16:38,17:13,,17:58,19:18,20:06,21:19,22:21,22:54,23:59
BATU KENTONMEN,50300,8:33,9:38,10:12,10:48,11:48,12:47,13:32,14:17,14:57,15:47,16:42,17:17,,18:02,19:22,20:10,21:23,22:25,22:58,0:03
KAMPUNG BATU,50400,8:35,9:40,10:14,10:50,11:50,12:49,13:34,14:19,14:59,15:49,16:44,17:19,,18:04,19:24,20:12,21:25,22:27,23:00,0:05
TAMAN WAHYU,50500,8:37,9:42,10:16,10:52,11:52,12:51,13:36,14:21,15:01,15:51,16:46,17:21,,18:06,19:26,20:14,21:27,22:29,23:02,0:07
BATU CAVES,50600,8:41,9:46,10:20,10:56,11:56,12:55,13:40,14:25,15:05,15:55,16:50,17:25,,18:10,19:30,20:18,21:31,22:33,23:06,0:11
