0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
JADUAL WAKTU KOMUTER LALUAN BATU CAVES KE PULAU SEBANG TAHUN 2025 (HARI BEKERJA) MULAI 25 OGOS 2025,,,,,,,,,,,,,,,,,,,,,,,
NOMBOR TRIP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,15,17,18,19,20,21,22,23
TRAIN NUMBER,2003,2005,2007,2011,2013,2015,2019,2023,2025,2027,2031,2035,2039,2041,2043,2045,2047,2049,2051,2055,2059,2063,2067
BATU CAVES,,,5:50,7:20,7:50,8:20,10:00,11:00,,12:25,13:25,14:25,15:25,16:25,17:05,,17:25,17:40,17:55,18:50,20:00,21:00,22:10
TAMAN WAHYU,,,5:54,7:24,7:54,8:24,10:04,11:04,,12:29,13:29,14:29,15:29,16:29,17:09,,17:29,17:44,17:59,18:54,20:04,21:04,22:14
KAMPUNG BATU,,,5:57,7:27,7:57,8:27,10:07,11:07,,12:32,13:32,14:32,15:32,16:32,17:12,,17:32,17:47,18:02,18:57,20:07,21:07,22:17
BATU KENTONMEN,,,5:59,7:29,7:59,8:29,10:09,11:09,,12:34,13:34,14:34,15:34,16:34,17:14,,17:34,17:49,18:04,18:59,20:09,21:09,22:19
SENTUL,5:03,,6:03,7:33,8:03,8:33,10:13,11:13,,12:38,13:38,14:38,15:38,16:38,17:18,,17:38,17:53,18:08,19:03,20:13,21:13,22:23
PUTRA,5:09,,6:09,7:39,8:09,8:39,10:19,11:19,,12:44,13:44,14:44,15:44,16:44,17:24,,17:44,17:59,18:14,19:09,20:19,21:19,22:29
BANK NEGARA,5:12,,6:12,7:42,8:12,8:42,10:22,11:22,,12:47,13:47,14:47,15:47,16:47,17:27,,17:47,18:02,18:17,19:12,20:22,21:22,22:32
KUALA LUMPUR,5:16,,6:16,7:46,8:20,8:46,10:26,11:26,,12:51,13:51,14:51,15:51,16:51,17:31,,17:51,18:06,18:21,19:16,20:26,21:26,22:36
KL SENTRAL,5:21,,6:21,7:56,8:23,8:51,10:31,11:29,,12:56,13:56,14:56,15:56,16:56,17:34,,17:56,18:11,18:26,19:21,20:31,21:31,22:41
MIDVALLEY,5:28,,6:28,8:03,,8:58,10:38,,,13:03,14:03,15:03,16:03,17:03,,,18:03,18:18,18:33,19:28,20:38,21:38,22:48
SEPUTEH,5:30,,6:30,8:05,,9:00,10:40,,,13:05,14:05,15:05,16:05,17:05,,,18:05,18:20,18:35,19:30,20:40,21:40,22:50
SALAK SELATAN,5:36,,6:36,8:11,,9:06,10:46,,,13:11,14:11,15:11,16:11,17:11,,,18:11,18:26,18:41,19:36,20:46,21:56,22:56
BANDAR TASEK SELATAN,5:43,,6:43,8:18,,9:13,10:53,,,13:18,14:18,15:18,16:18,17:18,,,18:18,18:33,18:48,19:43,20:53,22:03,23:03
SERDANG,5:51,,6:51,8:26,,9:21,11:01,,,13:26,14:26,15:26,16:26,17:26,,,18:26,18:41,18:56,19:51,21:01,22:11,23:11
KAJANG,6:02,,7:38,8:38,,10:18,11:18,,12:28,13:43,14:43,15:43,16:43,17:37,,18:13,18:38,18:53,19:08,20:18,21:18,22:23,23:23
KAJANG 2,,,7:41,8:41,,10:21,11:21,,12:31,13:46,14:46,15:46,16:46,,,18:16,18:41,18:56,19:11,20:21,21:21,22:26,23:26
UKM,,,7:44,8:44,,10:24,11:24,,12:34,13:49,14:49,15:49,16:49,,,18:19,18:44,18:59,19:14,20:24,21:24,22:29,23:29
BANGI,,,7:52,8:52,,10:32,11:32,,12:42,13:57,14:57,15:57,16:57,,,18:27,18:52,19:07,19:22,20:32,21:32,22:37,23:37
BATANG BENAR,,6:35,8:05,9:05,,10:45,11:45,,12:55,14:10,15:10,16:10,17:10,,,18:40,19:05,19:20,19:35,20:45,21:45,22:50,23:50
NILAI,,6:41,8:11,9:11,,10:51,11:51,,13:01,14:16,15:16,16:16,17:16,,,18:46,19:11,19:26,19:41,20:51,21:51,22:56,23:56
LABU,,6:48,8:18,9:18,,10:58,11:58,,13:08,14:23,15:23,16:23,17:23,,,18:53,19:18,19:33,19:48,20:58,21:58,23:03,0:03
TIROI,,6:54,8:24,9:24,,11:04,12:04,,13:14,14:29,15:29,16:29,17:29,,,18:59,19:24,19:39,19:54,21:04,22:04,23:09,0:09
SEREMBAN,,7:02,8:32,9:32,,11:12,12:12,,13:22,14:37,15:37,16:37,17:37,,,19:12,19:32,19:47,20:02,21:12,22:12,23:17,0:17
SENAWANG,,7:08,8:38,9:38,,11:18,12:18,,13:28,14:43,15:43,16:43,17:43,,,19:18,19:38,19:53,20:08,21:18,22:18,23:23,0:23
SUNGAI GADUT,,7:13,8:43,9:43,,11:23,12:23,,13:33,14:48,15:48,16:48,17:48,,,19:23,19:43,19:58,20:13,21:23,22:23,23:28,0:28
REMBAU,,7:26,8:56,9:56,,11:36,12:36,,13:46,15:01,16:01,17:01,18:01,,,19:36,19:56,20:11,20:26,21:36,22:36,,
PULAU SEBANG,,7:43,9:13,10:13,,11:53,12:53,,14:03,15:18,16:18,17:18,18:18,,,19:53,20:13,20:28,20:43,21:53,22:53,,
