0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
JADUAL WAKTU KOMUTER LALUAN PULAU SEBANG KE BATU CAVES TAHUN 2025 (HARI BEKERJA) MULAI 25 OGOS 2025,,,,,,,,,,,,,,,,,,,,,,
NOMBOR TRIP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
TRAIN NUMBER,2000,2002,2004,2006,2008,2010,2012,2016,2018,2022,2024,2026,2030,2034,2038,2042,2048,2050,2052,2054,2058,2062
PULAU SEBANG,4:30,,5:30,5:45,6:00,,,8:00,8:30,9:40,10:40,,12:05,13:05,14:05,15:05,,16:30,,18:30,19:40,20:35
REMBAU,4:47,,5:47,6:02,6:17,,,8:17,8:47,9:57,10:57,,12:22,13:22,14:22,15:22,,16:47,,18:47,19:57,20:52
SUNGAI GADUT,5:00,5:30,6:00,6:15,6:30,,,8:30,9:10,10:10,11:10,,12:35,13:35,14:35,15:35,,17:00,,19:00,20:10,21:05
SENAWANG,5:05,5:35,6:05,6:20,6:35,,,8:35,9:15,10:15,11:15,,12:40,13:40,14:40,15:40,,17:05,,19:05,20:15,21:10
SEREMBAN,5:11,5:41,6:11,6:26,6:41,,,8:41,9:21,10:21,11:21,,12:46,13:46,14:46,15:46,,17:11,,19:11,20:21,21:16
TIROI,5:19,5:49,6:19,6:34,6:49,,,8:49,9:29,10:29,11:29,,12:54,13:54,14:54,15:54,,17:19,,19:19,20:29,21:24
LABU,5:25,5:55,6:25,6:40,6:55,,,8:55,9:35,10:35,11:35,,13:00,14:00,15:00,16:00,,17:25,,19:25,20:35,21:30
NILAI,5:35,6:05,6:35,6:50,7:05,,,9:05,9:45,10:45,11:45,,13:10,14:10,15:10,16:10,,17:35,,19:35,20:45,21:40
BATANG BENAR,5:41,6:11,6:41,6:56,7:11,,,9:11,9:51,10:51,11:51,,13:16,14:16,15:16,16:16,,17:41,,19:51,20:51,21:46
BANGI,5:54,6:24,6:54,7:09,7:24,,,9:24,10:04,11:04,12:04,,13:29,14:29,15:29,16:29,,17:54,,20:04,21:04,21:59
UKM,6:00,6:30,7:00,7:15,7:30,,,9:30,10:10,11:10,12:10,,13:35,14:35,15:35,16:35,,18:00,,20:10,21:10,22:05
KAJANG 2,6:03,6:33,7:03,7:18,7:33,,,9:33,10:13,11:13,12:13,,13:38,14:38,15:38,16:38,,18:03,,20:13,21:13,22:08
KAJANG,6:06,6:36,7:06,7:21,7:36,,8:38,9:36,10:16,11:16,12:15,,13:41,14:41,15:41,16:41,,18:05,19:09,20:16,21:16,22:26
SERDANG,6:18,,7:18,7:33,7:48,,8:50,9:48,10:28,11:28,,,13:53,14:53,15:53,16:53,,,19:21,20:28,21:28,22:38
BANDAR TASEK SELATAN,6:25,7:00,7:25,7:40,7:55,,8:57,9:55,10:35,11:35,,,14:00,15:00,16:00,17:00,,,19:28,20:35,21:35,22:45
SALAK SELATAN,6:31,7:06,7:31,7:46,8:01,,9:03,10:01,10:41,11:41,,12:56,14:06,15:06,16:06,17:06,18:01,,19:34,20:41,21:41,22:51
SEPUTEH,6:36,7:11,7:36,7:51,8:06,,9:08,10:06,10:46,11:46,,13:01,14:11,15:11,16:11,17:11,18:06,,19:39,20:46,21:46,22:56
MIDVALLEY,6:39,7:14,7:39,7:54,8:09,,9:11,10:09,10:49,11:49,,13:04,14:14,15:14,16:14,17:14,18:09,,19:42,20:49,21:49,22:59
KL SENTRAL,6:46,7:24,7:51,8:01,8:16,8:41,9:21,10:16,10:56,11:56,,13:11,14:21,15:21,16:21,17:21,18:16,,19:51,20:56,21:56,23:06
KUALA LUMPUR,6:50,7:30,7:55,8:05,8:20,8:45,9:25,10:20,11:00,12:06,,13:15,14:25,15:25,16:25,17:25,18:20,,19:55,21:00,22:05,23:10
BANK NEGARA,6:54,7:34,7:59,8:09,8:24,8:49,9:29,10:24,11:04,12:10,,13:19,14:29,15:29,16:29,17:29,18:24,,19:59,21:04,22:09,23:14
PUTRA,6:57,7:37,8:02,8:12,8:27,8:52,9:32,10:27,11:07,12:13,,13:22,14:32,15:32,16:32,17:32,18:27,,20:02,21:07,22:12,23:17
SENTUL,7:03,7:43,8:08,8:18,8:33,8:58,9:38,10:33,11:13,12:19,,13:28,14:38,15:38,16:38,17:38,18:33,,20:08,21:13,22:18,23:23
BATU KENTONMEN,7:07,7:47,8:12,8:22,8:37,9:02,9:42,10:37,11:17,12:23,,13:32,14:42,15:42,16:42,17:42,18:37,,20:12,21:17,22:22,23:27
KAMPUNG BATU,7:09,7:49,8:14,8:24,8:39,9:04,9:44,10:39,11:19,12:25,,13:34,14:44,15:44,16:44,17:44,18:39,,20:14,21:19,22:24,23:29
TAMAN WAHYU,7:11,7:51,8:16,8:26,8:41,9:06,9:46,10:41,11:21,12:27,,13:36,14:46,15:46,16:46,17:46,18:41,,20:16,21:21,22:26,23:31
BATU CAVES,7:15,7:55,8:20,8:30,8:45,9:10,9:50,10:45,11:25,12:31,,13:40,14:50,15:50,16:50,17:50,18:45,,20:20,21:25,22:30,23:35
