0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"JADUAL WAKTU KOMUTER LALUAN BATU CAVES KE PULAU SEBANG TAHUN 2025 (HARI SABTU, AHAD DAN HARI KELEPASAN AM) MULAI 23 OGOS 2025",,,,,,,,,,,,,,,,
NOMBOR TRIP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
TRAIN NUMBER,2207,2211,2215,2219,2223,2225,2227,2231,2235,2239,2243,2247,2251,2255,2259,2263
BATU CAVES,6:00,7:20,8:20,10:00,11:00,,12:25,13:25,14:25,15:25,16:25,17:50,18:50,20:00,21:00,22:10
TAMAN WAHYU,6:04,7:24,8:24,10:04,11:04,,12:29,13:29,14:29,15:29,16:29,17:54,18:54,20:04,21:04,22:14
KAMPUNG BATU,6:07,7:27,8:27,10:07,11:07,,12:32,13:32,14:32,15:32,16:32,17:57,18:57,20:07,21:07,22:17
BATU KENTONMEN,6:09,7:29,8:29,10:09,11:09,,12:34,13:34,14:34,15:34,16:34,17:59,18:59,20:09,21:09,22:19
SENTUL,6:13,7:33,8:33,10:13,11:13,,12:38,13:38,14:38,15:38,16:38,18:03,19:03,20:13,21:13,22:23
PUTRA,6:19,7:39,8:39,10:19,11:19,,12:44,13:44,14:44,15:44,16:44,18:09,19:09,20:19,21:19,22:29
BANK NEGARA,6:22,7:42,8:42,10:22,11:22,,12:47,13:47,14:47,15:47,16:47,18:12,19:12,20:22,21:22,22:32
KUALA LUMPUR,6:26,7:46,8:46,10:26,11:26,,12:51,13:51,14:51,15:51,16:51,18:16,19:16,20:26,21:26,22:36
KL SENTRAL,6:31,7:51,8:51,10:31,11:31,,12:56,13:56,14:56,15:56,16:56,18:21,19:21,20:31,21:31,22:41
MIDVALLEY,6:38,7:58,8:58,10:38,,,13:03,14:03,15:03,16:03,17:03,18:28,19:28,20:38,21:38,22:48
SEPUTEH,6:40,8:00,9:00,10:40,,,13:05,14:05,15:05,16:05,17:05,18:30,19:30,20:40,21:40,22:50
SALAK SELATAN,6:46,8:06,9:06,10:46,,,13:11,14:11,15:11,16:11,17:11,18:36,19:36,20:46,21:56,22:56
BANDAR TASEK SELATAN,6:53,8:13,9:13,10:53,,,13:18,14:18,15:18,16:18,17:18,18:43,19:43,20:53,22:03,23:03
SERDANG,7:01,8:21,9:21,11:01,,,13:26,14:26,15:26,16:26,17:26,18:51,19:51,21:01,22:11,23:11
KAJANG,7:18,8:38,10:18,11:18,,12:28,13:43,14:43,15:43,16:43,17:43,19:08,20:13,21:18,22:23,23:23
KAJANG 2,7:21,8:41,10:21,11:21,,12:31,13:46,14:46,15:46,16:46,17:46,19:11,20:16,21:21,22:26,23:26
UKM,7:24,8:44,10:24,11:24,,12:34,13:49,14:49,15:49,16:49,17:49,19:14,20:19,21:24,22:29,23:29
BANGI,7:32,8:52,10:32,11:32,,12:42,13:57,14:57,15:57,16:57,17:57,19:22,20:27,21:32,22:37,23:37
BATANG BENAR,7:45,9:05,10:45,11:45,,12:55,14:10,15:10,16:10,17:10,18:10,19:35,20:40,21:45,22:50,23:50
NILAI,7:51,9:11,10:51,11:51,,13:01,14:16,15:16,16:16,17:16,18:16,19:41,20:46,21:51,22:56,23:56
LABU,7:58,9:18,10:58,11:58,,13:08,14:23,15:23,16:23,17:23,18:23,19:48,20:53,21:58,23:03,0:03
TIROI,8:04,9:24,11:04,12:04,,13:14,14:29,15:29,16:29,17:29,18:29,19:54,20:59,22:04,23:09,0:09
SEREMBAN,8:12,9:32,11:12,12:12,,13:22,14:37,15:37,16:37,17:37,18:37,20:02,21:07,22:12,23:17,0:17
SENAWANG,8:18,9:38,11:18,12:18,,13;28,14:43,15:43,16:43,17:43,18:43,20:08,21:13,22:18,23:23,0:23
SUNGAI GADUT,8:23,9:43,11:23,12:23,,13:33,14:48,15:48,16:48,17:48,18:48,20:13,21:18,22:23,23:28,0:28
REMBAU,8:36,9:56,11:36,12:36,,13:46,15:01,16:01,,18:01,19:01,20:26,21:31,22:36,,
PULAU SEBANG,8:53,10:13,11:53,12:53,,14:03,15:18,16:18,,18:18,19:18,20:43,21:48,22:53,,
