STESEN/STATION,EG9041,EP9523,EP9121,EP9123,EP9323,EG9045,EG9343,EP9223,EP9425,EG9049,EP9225,EP9531,EX9109,EP9533,EG9449,EX9011,EX9209,EP9535,EP9133,EG9055,EP9233,EP9135
PADANG BESAR,,,,,,,,07:20,08:15,,09:45,,,,12:05,,13:50,,,,17:00,
ARAU,,,,,,,,07:38,08:33,,10:03,,,,12:23,,14:07,,,,17:18,
ANAK BUKIT,,,,,,,,,,,,,,,12:39,,,,,,,
ALOR SETAR,,,,,,,,07:59,08:54,,10:24,,,,12:45,,14:26,,,,17:39,
GURUN,,,,,,,,,,,,,,,13:03,,,,,,,
SUNGAI PETANI,,,,,,,,08:29,09:24,,10:54,,,,13:15,,14:54,,,,18:08,
TASEK GELUGOR,,,,,,,,08:41,09:36,,11:06,,,,13:27,,,,,,18:20,
BUTTERWORTH,,,05:15,06:30,07:00,,07:50,,,,,,13:05,,,,,,16:05,,,18:45
BUKIT MERTAJAM,,,05:26,06:41,07:11,,08:01,,,,,,13:15,,,,,,16:16,,,18:56
NIBONG TEBAL,,,,,,,08:15,,,,,,,,13:49,,,,,,,
PARIT BUNTAR,,,05:43,06:58,07:28,,08:19,09:08,10:03,,11:33,,,,13:53,,,,16:33,,18:47,19:13
BAGAN SERAI,,,,,,,08:27,,,,,,,,14:01,,,,,,,
TAIPING,,,06:11,07:26,07:56,,08:49,09:36,10:31,,12:01,,13:56,,14:22,,15:54,,17:01,,19:15,19:41
KUALA KANGSAR,,,06:27,07:42,08:12,,09:06,09:52,10:47,,12:17,,,,14:39,,,,17:17,,19:31,19:57
SUNGAI SIPUT,,,,,,,09:17,,,,,,,,14:51,,,,,,,
IPOH,05:00,,06:56,08:11,08:41,09:00,09:36,10:21,11:16,12:05,12:46,,14:40,,15:10,15:55,16:37,,17:46,19:00,20:00,20:26
BATU GAJAH,05:13,,07:10,08:25,08:55,09:13,09:50,10:35,11:30,12:18,13:00,,,,15:24,16:04,,,18:00,19:13,20:14,20:40
KAMPAR,05:26,,07:23,08:38,09:08,09:26,10:03,10:48,11:43,12:31,13:13,,,,15:37,,,,18:13,19:26,20:27,20:53
TAPAH ROAD,05:36,,,,,09:36,10:13,,,12:41,,,,,15:47,,,,,19:36,,
SUNGKAI,05:48,,,,,09:48,,,,12:53,,,,,,,,,,19:48,,
SLIM RIVER,06:01,,,,,10:01,,,,13:06,,,,,,,,,,20:01,,
TANJUNG MALIM,06:15,,08:07,09:22,09:52,10:15,10:52,11:32,12:27,13:20,13:57,,,,16:26,,,,18:57,20:15,21:11,21:37
BATANG KALI,,,,,,,11:11,,,,,,,,,,,,,,,
RAWANG,06:50,,,,,10:50,,,,13:55,,,,,17:01,,,,,20:50,,
SUNGAI BULOH,07:05,,08:54,10:09,10:39,11:05,11:42,12:19,13:14,14:10,14:44,,,,17:16,,18:19,,19:44,21:05,21:59,22:24
KEPONG SENTRAL,07:13,,,,,11:13,,,,14:18,,,,,,,,,,21:13,,
KUALA LUMPUR,07:30,,09:16,10:31,11:01,11:30,12:06,12:41,13:36,14:35,15:06,,16:37,,17:40,17:52,18:37,,20:06,21:30,22:21,22:46
KL SENTRAL,07:34,07:55,09:20,10:35,11:10,11:34,12:15,12:45,13:45,14:39,15:10,15:15,16:40,17:35,17:50,17:55,18:40,20:00,20:10,21:34,22:25,22:50
BANDAR TASIK SELATAN,,08:09,,,11:24,,12:30,,13:59,,,15:29,,17:49,18:06,,,20:14,,,,
KAJANG,,08:28,,,,,12:49,,,,,15:48,,18:08,18:25,,,20:33,,,,
SEREMBAN,,09:13,,,12:28,,13:39,,15:03,,,16:33,,18:53,19:15,,,21:18,,,,
PULAU SEBANG / TAMPIN,,09:42,,,12:57,,14:07,,15:32,,,17:02,,19:22,19:45,,,21:47,,,,
BATANG MELAKA,,09:57,,,,,14:22,,15:47,,,17:17,,19:37,20:01,,,22:02,,,,
GEMAS,,10:15,,,13:30,,14:42,,16:05,,,17:35,,19:55,20:20,,,22:20,,,,
SEGAMAT,,10:31,,,13:46,,14:57,,16:21,,,17:51,,20:11,20:36,,,22:36,,,,
LABIS,,10:47,,,14:02,,,,16:37,,,18:07,,20:27,20:58,,,22:52,,,,
BEKOK,,10:57,,,,,,,,,,18:17,,20:37,21:08,,,23:02,,,,
PALOH,,11:07,,,,,,,,,,18:27,,20:47,21:19,,,23:12,,,,
KLUANG,,11:20,,,14:31,,,,17:06,,,18:40,,21:00,21:34,,,23:25,,,,
RENGAM,,11:31,,,,,,,,,,18:51,,21:11,21:47,,,23:36,,,,
LAYANG-LAYANG,,11:40,,,,,,,,,,19:00,,21:20,21:55,,,23:45,,,,
KULAI,,11:53,,,14:59,,,,17:34,,,19:13,,21:33,22:10,,,23:58,,,,
KEMPAS BARU,,12:06,,,15:12,,,,17:47,,,19:26,,21:46,22:23,,,00:11,,,,
JB SENTRAL,,12:15,,,15:20,,,,17:55,,,19:35,,21:55,22:30,,,00:20,,,,
