0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"JADUAL WAKTU KOMUTER TANJUNG MALIM KE PELABUHAN KLANG SABTU, AHAD DAN CUTI AM MULAI 1 JANUARI 2026",,,,,,,,,,,,,,,,,,,,,
NOMBOR TRIP,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
NOMBOR TREN,,2303,2307,2311,2315,2319,2327,2331,2335,2339,2343,2347,2351,2355,2363,2365,2371,2375,2379,2383,2387
TANJUNG MALIM,15200,5:32,6:02,6:32,7:02,7:32,8:32,9:27,10:22,11:22,12:32,13:32,14:32,15:22,16:17,17:02,17:22,18:32,19:32,20:32,21:27
KUALA KUBU BHARU,16200,5:45,6:15,6:45,7:15,7:45,8:45,9:40,10:35,11:35,12:45,13:45,14:45,15:35,16:30,17:15,17:35,18:45,19:45,20:45,21:40
RASA,16400,5:50,6:20,6:50,7:20,7:50,8:50,9:45,10:40,11:40,12:50,13:50,14:50,15:40,16:35,17:20,17:40,18:50,19:50,20:50,21:45
BATANG KALI,16500,5:54,6:24,6:54,7:24,7:54,8:54,9:49,10:44,11:44,12:54,13:54,14:54,15:44,16:39,17:24,17:44,18:54,19:54,20:54,21:49
SERENDAH,17300,6:02,6:32,7:02,7:32,8:02,9:02,9:57,10:52,11:52,13:02,14:02,15:02,15:52,16:47,17:32,17:52,19:02,20:02,21:02,21:57
RAWANG,17800,6:11,6:41,7:11,7:41,8:11,9:11,10:06,11:01,12:01,13:11,14:11,15:11,16:01,16:56,17:41,18:11,19:11,20:11,21:11,22:06
KUANG,18100,6:18,6:48,7:18,7:48,8:18,9:18,10:13,11:08,12:13,13:18,14:18,15:18,16:18,17:13,17:49,18:18,19:18,20:18,21:18,22:18
SUNGAI BULOH,18500,6:26,6:56,7:26,7:56,8:26,9:26,10:21,11:16,12:21,13:26,14:26,15:26,16:26,17:21,17:57,18:26,19:26,20:26,21:26,22:26
KEPONG SENTRAL,18400,6:33,7:03,7:33,8:03,8:33,9:33,10:28,11:23,12:28,13:33,14:33,15:33,16:33,17:28,18:04,18:33,19:33,20:33,21:33,22:33
KEPONG,18600,6:36,7:06,7:36,8:06,8:36,9:36,10:31,11:26,12:31,13:36,14:36,15:36,16:36,17:31,18:07,18:36,19:36,20:36,21:36,22:36
SEGAMBUT,18700,6:41,7:11,7:41,8:11,8:41,9:41,10:36,11:31,12:36,13:41,14:41,15:41,16:41,17:36,18:12,18:41,19:41,20:41,21:41,22:41
PUTRA,18800,6:46,7:16,7:46,8:16,8:46,9:46,10:41,11:36,12:41,13:46,14:46,15:46,16:46,17:41,18:17,18:46,19:46,20:46,21:46,22:46
BANK NEGARA,18900,6:49,7:19,7:49,8:19,8:49,9:49,10:44,11:39,12:44,13:49,14:49,15:49,16:49,17:44,18:20,18:49,19:49,20:49,21:49,22:49
KUALA LUMPUR,19000,6:53,7:23,7:53,8:23,8:53,9:53,10:48,11:43,12:48,13:53,14:53,15:53,16:53,17:48,18:24,18:53,19:53,20:53,21:53,22:53
KL SENTRAL,19100,6:58,7:26,7:58,8:26,8:58,9:58,10:51,11:46,12:51,13:56,14:58,15:58,16:58,17:58,18:27,18:58,19:58,20:58,21:58,22:58
